ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
135002,India,28,Andhra Pradesh,502,Anantapur,2013,Bontula Dinne,14.84166667,78.09333333,,,42,241,1876,0.55,,366,7,35.31,31,305,,,2,8.39,240,,250,300,,7.94,No
135003,India,28,Andhra Pradesh,502,Anantapur,2013,Bontula Dinne1,14.84166667,78.09333333,,,,,,,,,,,,,,,,,,,,,,,No
135004,India,28,Andhra Pradesh,502,Anantapur,2013,Budipalli,13.96666667,77.16666667,,,26,128,1060,4.25,,311,1,24.34,39,170,,,3.6,5.76,48,,165,254.9,,8.04,No
135005,India,28,Andhra Pradesh,502,Anantapur,2013,Chilkamattur,13.85,77.73333333,,,,,,,,,,,,,,,,,,,,,,,No
135006,India,28,Andhra Pradesh,502,Anantapur,2013,Chilkamattur1,13.85,77.73333333,,,,,,,,,,,,,,,,,,,,,,,No
135007,India,28,Andhra Pradesh,502,Anantapur,2013,D.cheruvu,14.07916667,78.35555556,,,,,,,,,,,,,,,,,,,,,,,No
135008,India,28,Andhra Pradesh,502,Anantapur,2013,Dharmavaram,14.41166667,77.72,,,88,496,2394,0.6,,238,5,63.32,166,331,,,,6.57,142,,480,195.1,,7.75,No
135009,India,28,Andhra Pradesh,502,Anantapur,2013,Gooty-alt,15.11666667,77.64305556,,,48,355,2129,0.03,,634,150,55.98,26,250,,,6.78,5.81,38,,350,519.7,,7.98,No
135010,India,28,Andhra Pradesh,502,Anantapur,2013,Gorantla,13.98333333,77.76666667,,,24,53,786,3.83,,293,2,24.34,24,106,,,3.2,3.65,36,,160,240.2,,8.17,No
135011,India,28,Andhra Pradesh,502,Anantapur,2013,Govinavaripalli,13.975,77.87777778,,,18,53,788,2.4,,372,,20.69,7.9,132,,,7,5.04,23,,130,304.9,,8.13,No
135012,India,28,Andhra Pradesh,502,Anantapur,2013,Gundlapally,14.70444444,77.05638889,,,,,,,,,,,,,,,,,,,,,,,No
135013,India,28,Andhra Pradesh,502,Anantapur,2013,Guntakal,15.16805556,77.37638889,,,,,,,,,,,,,,,,,,,,,,,No
